Term,Type,Ontology,Synonyms,Definition,GeneratedDefinition,Examples,Explanations,Maturity
AUDA,NamedIndividual,Business Centers Individuals,,,,,,release
AUME,NamedIndividual,Business Centers Individuals,,,,,,release
AUPE,NamedIndividual,Business Centers Individuals,,,,,,release
AUREL,NamedIndividual,Markets Individuals,,,,,,release
AUREL - OTF,NamedIndividual,Markets Individuals,,,,,,release
AUREL - OTF market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AUREL operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,NamedIndividual,Markets Individuals,,,,,,release
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AUSTRALIAN WHEAT BOARD,NamedIndividual,Markets Individuals,,,,,,release
AUSTRALIAN WHEAT BOARD operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AUSTRALIAN WOOL EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
AUSTRALIAN WOOL EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AUSY,NamedIndividual,Business Centers Individuals,,,,,,release
AUTILLA,NamedIndividual,Markets Individuals,,,,,,release
AUTILLA - BASE METALS,NamedIndividual,Markets Individuals,,,,,,release
AUTILLA - BASE METALS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AUTILLA - PRECIOUS METALS,NamedIndividual,Markets Individuals,,,,,,release
AUTILLA - PRECIOUS METALS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AUTILLA operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AUTOBAHN FX,NamedIndividual,Markets Individuals,,,,,,release
AUTOBAHN FX market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AUTOMATED EQUITY FINANCE MARKETS,NamedIndividual,Markets Individuals,,,,,,release
AUTOMATED EQUITY FINANCE MARKETS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AWG,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Aruban Florin,,,,release
AZ,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Arizona,,,,release
AZN,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Azerbaijan Manat,,,,release
Aabenraa,NamedIndividual,Business Centers Individuals,,,,,,release
Aalborg,NamedIndividual,Business Centers Individuals,,,,,,release
Abha,NamedIndividual,Business Centers Individuals,,,,,,release
Abidjan,NamedIndividual,Business Centers Individuals,,,,,,release
Abu Dhabi,NamedIndividual,Business Centers Individuals,,,,,,release
Abuja,NamedIndividual,Business Centers Individuals,,,,,,release
Accra,NamedIndividual,Business Centers Individuals,,,,,,release
Accuity Inc. US-DE,NamedIndividual,US Regulatory Agencies Ontology,,Accuity Inc. legal entity that is a Delaware corporation and subsidiary of Wolters Kluwer,,,,release
Accuity Inc. business entity identifier,NamedIndividual,US Regulatory Agencies Ontology,,Delaware Department of Corporations business entity identifier for Accuity Inc.,,,,release
Accuity Inc. headquarters address,NamedIndividual,US Regulatory Agencies Ontology,,registered address that is identified as the headquarters address for Accuity Inc.,,,,release
Addis Ababa,NamedIndividual,Business Centers Individuals,,,,,,release
Adelaide,NamedIndividual,Business Centers Individuals,,,,,,release
Aden,NamedIndividual,Business Centers Individuals,,,,,,release
Afghani,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Afghani,,,,release
Ahmedabad,NamedIndividual,Business Centers Individuals,,,,,,release
Aland Islands jurisdiction,NamedIndividual,Northern Europe Government Entities and Jurisdictions Ontology,Ålands tingsrätt,"jurisdiction of the Aland District Court, which deals with criminal cases, civil cases and petitionary matters in first instance, with escalation to the appellate level in Finland as needed",,,,release
Alandic entity,NamedIndividual,Northern Europe Government Entities and Jurisdictions Ontology,,regional sovereignty and polity that is Aland,,,,release
Albanian entity,NamedIndividual,Southern Europe Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Albania,,,,release
Algerian Dinar,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Algerian Dinar,,,,release
Algiers,NamedIndividual,Business Centers Individuals,,,,,,release
Alma-ata,NamedIndividual,Business Centers Individuals,,,,,,release
Almaty,NamedIndividual,Business Centers Individuals,,,,,,release
Alphabet Inc. US-CA,NamedIndividual,US Example Entities,,"publicly held company and for profit corporation legal entity for Alphabet Inc., a Delaware stock corporation",,,,release
Alphabet Inc. business entity identifier,NamedIndividual,US Example Entities,,registration identifier assigned by the Delaware Department of Corporations for Alphabet Inc.,,,,release
Alphabet Inc. class A common stock,NamedIndividual,Equities Example Individuals Ontology,,common share class that represents class A series shares in Alphabet Inc.,,,,release
Alphabet Inc. class A financial instrument short name,NamedIndividual,Equities Example Individuals Ontology,,Alphabet Inc. class A common share financial instrument short name (FISN),,,,release
Alphabet Inc. class C capital stock,NamedIndividual,Equities Example Individuals Ontology,,common share class that represents class C series shares in Alphabet Inc.,,,,release
Alphabet Inc. class C financial instrument short name,NamedIndividual,Equities Example Individuals Ontology,,Alphabet Inc. class C capital stock financial instrument short name (FISN),,,,release
Alphabet Inc. corporate address,NamedIndividual,US Example Individuals,,registration address for Alphabet Inc.,,,,release
Alphabet Inc. equity issuer,NamedIndividual,Equities Example Individuals Ontology,,Alphabet Inc. functional entity that is an issuer of stock,,,,release
Alphabet Inc. incorporation date,NamedIndividual,US Example Entities,,date that Alphabet Inc. was first registered as a corporation in the State of Delaware,,,,release
Alphabet Inc. legal entity identifier registry entry,NamedIndividual,US Example Individuals,,legal entity identifier registry entry for Alphabet Inc.,,,,release
American Bankers Association,NamedIndividual,US Regulatory Agencies Ontology,,"American Bankers Association (ABA) legal entity, which is a trade association whose membership comprises financial institutions of all sizes",,,,release
American Bankers Association RTN Registrar,NamedIndividual,US Regulatory Agencies Ontology,,"American Bankers Association (ABA) Routing Transit Number (RTN) Registrar, which is a delegated capability currently provided by Accuity",,,,release
American Bankers Association Registration Authority,NamedIndividual,US Regulatory Agencies Ontology,,"American Bankers Association (ABA) Registration Authority (RA), which is a function of the ABA for registration of issuer identification numbers in the US",,,,release
American Samoa entity,NamedIndividual,US Government Entities and Jurisdictions Ontology,,"individual representing the unincorporated territory and polity of the United States located in the South Pacific Ocean, known as American Samoa",,,"American Samoa consists of five main islands and two coral atolls. The largest and most populous island is Tutuila, with the Manu'a Islands, Rose Atoll, and Swains Island also included in the territory. American Samoa is part of the Samoan Islands chain, located west of the Cook Islands, north of Tonga, and some 300 miles (500 km) south of Tokelau.",release
American Samoa jurisdiction,NamedIndividual,US Government Entities and Jurisdictions Ontology,,individual representing the jurisdiction of the US territory of American Samoa,,,,release
American exercise convention,NamedIndividual,Exercise Conventions Ontology,,exercise convention that stipulates that an option may be exercised anytime between the purchase date and date of expiration,,,,release
American exercise terms,Class,Exercise Conventions Ontology,,exercise terms that stipulate that an option may be exercised anytime between the purchase date and date of expiration,"It is a kind of exercise terms. It uses resource that is American exercise convention, has exercise window some date period.",,"Under certain circumstances, early exercise may be advantageous to the option holder.",release
American statistics publisher,Class,American Economic Indicators Ontology,,a statistical information publisher comprised of the government agencies and departments that publish statistical information on behalf of the U.S. Federal Government,It is a kind of statistical information publisher. ,"Examples of American statistical information publishers include the Department of Commerce, Bureau of Economic Analysis (Commerce), Census Bureau (Commerce), Bureau of Labor Statistics (Labor), Department of the Treasury, and the Federal Reserve Board, among others.",,release
Amman,NamedIndividual,Business Centers Individuals,,,,,,release
Amsterdam,NamedIndividual,Business Centers Individuals,,,,,,release
Andorran entity,NamedIndividual,Southern Europe Government Entities and Jurisdictions Ontology,,sovereign state and polity that is Andorra,,,,release
Ankara,NamedIndividual,Business Centers Individuals,,,,,,release
Antananarivo,NamedIndividual,Business Centers Individuals,,,,,,release
Antigua and Barbuda entity,NamedIndividual,Caribbean Government Entities and Jurisdictions Ontology,,"sovereign state and polity that consists of two major islands, Antigua and Barbuda (separated by 39 miles), and a number of smaller islands in the middle of the Leeward Islands, that is part of the Lesser Antilles",,,,release
Apple Inc. US-CA,NamedIndividual,US Example Entities,,"publicly held company and for profit corporation legal entity for Apple Inc., a California stock corporation",,,,release
Apple Inc. business entity identifier,NamedIndividual,US Example Entities,,registration identifier assigned by the California Department of Corporations for Apple Inc.,,,,release
Apple Inc. common stock,NamedIndividual,Equities Example Individuals Ontology,,common share class representing shares in Apple Inc.,,,,release
Apple Inc. common stock financial instrument short name,NamedIndividual,Equities Example Individuals Ontology,,Apple Inc. common stock financial instrument short name (FISN),,,,release
Apple Inc. common stock issuer,NamedIndividual,Equities Example Individuals Ontology,,Apple Inc. functional entity that is an issuer of common stock,,,,release
Apple Inc. corporate address,NamedIndividual,US Example Individuals,,registration address for Apple Inc.,,,,release
Apple Inc. incorporation date,NamedIndividual,US Example Entities,,date that Apple Inc. was first registered as a corporation in the State of California,,,,release
Apple Inc. legal entity identifier registry entry,NamedIndividual,US Example Individuals,,legal entity identifier registry entry for for Apple Inc.,,,,release
Argentine Peso,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Argentine Peso,,,,release
Argentinian entity,NamedIndividual,South American Government Entities and Jurisdictions Ontology,,"federated sovereignty and polity that is located in the southern half of South America, bordered by Bolivia and Paraguay to the north, Brazil to the northeast, Uruguay and the South Atlantic Ocean to the east, and the Drake Passage to the south",,,,release
Armed Forces Americas,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,"state designation for Armed Forces Americas, excluding Canada",,,,release
Armed Forces Europe,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,"state designation for Armed Forces Europe, the Middle East, and Canada",,,,release
Armed Forces Pacific,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,state designation for Armed Forces Pacific,,,,release
Armenian Dram,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Armenian Dram,,,,release
Aruban Florin,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Aruban Florin,,,,release
Astana,NamedIndividual,Business Centers Individuals,,,,,,release
Asti,NamedIndividual,Business Centers Individuals,,,,,,release
Asuncion,NamedIndividual,Business Centers Individuals,,,,,,release
Athens,NamedIndividual,Business Centers Individuals,,,,,,release
Atlanta,NamedIndividual,Business Centers Individuals,,,,,,release
Auckland,NamedIndividual,Business Centers Individuals,,,,,,release
Australian Dollar,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Australian Dollar,,,,release
Austrian entity,NamedIndividual,Western Europe Government Entities and Jurisdictions Ontology,,federated sovereignty and polity that is Austria,,,,release
Aylesbury,NamedIndividual,Business Centers Individuals,,,,,,release
Azerbaijan Manat,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency Azerbaijan Manat,,,,release
B0YQ5W0,NamedIndividual,Equities Example Individuals Ontology,,Apple Inc. common share SEDOL listed in the London Stock Exchange,,,,release
BAADER BANK - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
BAADER BANK - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
BAHAMAS INTERNATIONAL SECURITIES EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
BAHAMAS INTERNATIONAL SECURITIES EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
BAHRAIN BOURSE,NamedIndividual,Markets Individuals,,,,,,release
BAHRAIN BOURSE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
BAHRAIN FINANCIAL EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
BAHRAIN FINANCIAL EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
BAKKT,NamedIndividual,Markets Individuals,,,,,,release
BAKKT operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
BAKU INTERBANK CURRENCY EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
BAKU INTERBANK CURRENCY EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
BAKU STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
BAKU STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
BALKAN GAS HUB EAD,NamedIndividual,Markets Individuals,,,,,,release
BALKAN GAS HUB EAD operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
BALTEX - FREIGHT DERIVATIVES MARKET,NamedIndividual,Markets Individuals,,,,,,release
BALTEX - FREIGHT DERIVATIVES MARKET market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
BALTPOOL,NamedIndividual,Markets Individuals,,,,,,release
BALTPOOL operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
BAM,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Convertible Mark,,,,release
